IDProducto,Nombre,Precio,Categoria1,Categoria2,Marca,Imagen
LAP78901234,IDEAPAD 1 14IGL7 INTEL N4020 4GB RAM 128GB SSD 14P W11 S CLOUD GREY,1599,Computadoras,Laptops,LENOVO,src\\main\\resources\\
LAP56789012,VIVOBOOK GO L510MA-BB09-CB CELERON N4020 4GB RAM 128GB SSD 15.6P W11 STAR BLACK,1799,Computadoras,Laptops,ASUS,src\\main\\resources\\
LAP34567890,IDEAPAD 1 15IJL7 PENTIUM N6000 1.1GHZ 4GB RAM 128GB SSD 15.6P W11 S ABYSS BLUE,1899,Computadoras,Laptops,LENOVO,src\\main\\resources\\
LAP12345678,14-DQ5009LA I3-1215U 8GB RAM 256GB SSD 14P W11H SILVER,2999,Computadoras,Laptops,HP,src\\main\\resources\\
LAP90123456,V14 G4 ABP RYZEN 5 5500U 8GB RAM 256GB SSD 14P W11 PRO,3149,Computadoras,Laptops,LENOVO,src\\main\\resources\\
LAP67890123,15-DY5131WM I3-1215U 8GB RAM 256GB SSD 15.6P W11 S SILVER,3049,Computadoras,Laptops,HP,src\\main\\resources\\
LAP45678901,15-EF2033DX ryzen 3 5300U 8GB RAM 256GB SSD 15.6P W11 SILVER,3099,Computadoras,Laptops,HP,src\\main\\resources\\
LAP23456789,INSPIRON 15 3000 i3-1215U 8GB RAM 256GB 15.6P W11 BLACK,3199,Computadoras,Laptops,DELL,src\\main\\resources\\
LAP01234567,INSPIRON 15 3000 3520 I3-1215U 8GB RAM 256GB SSD 15.6P W11 PLATINUM SILVER,3099,Computadoras,Laptops,DELL,src\\main\\resources\\
LAP89012345,IDEAPAD 15ITL05 i3-1115G4 8GB RAM 256GB SSD 15.6P  GREY,3169,Computadoras,Laptops,LENOVO,src\\main\\resources\\
LAP67890125,14-DQ2528LA I3-1115G4 8GB RAM 256GB SSD 14P W11,3199,Computadoras,Laptops,HP,src\\main\\resources\\
LAP45678902,15-DY2792WM I3-1115G4 8GB RAM 256GB SSD 15.6P W11S SPRUCE BLUE,3169,Computadoras,Laptops,HP,src\\main\\resources\\
LAP23456788,15-EF2033DX ryzen 3 5300U 8GB RAM 256GB SSD 15.6P W11 SILVER,3299,Computadoras,Laptops,HP,src\\main\\resources\\
